,Gebiet,Sachmerkmal,Jahr,Nettoeinkommen
189,"Gruenau-Ost,Persoenliches Einkommen,1063","50109594185""",2013,"1090,84425833176"
190,"Gruenau-Mitte,Persoenliches Einkommen,928","989237574649""",2013,"1124,3918743438"
191,"Gruenau-Siedlung,Persoenliches Einkommen,1198","66100062977""",2013,"1444,86328462828"
192,"Lausen-Gruenau,Persoenliches Einkommen,976","025968696877""",2013,"1190,68764239962"
193,"Gruenau-Nord,Persoenliches Einkommen,895","112599069049""",2013,"1054,86356595686"
194,"Miltitz,Persoenliches Einkommen,1181","71001321242""",2013,"1426,32686619538"
195,"Lindenau,Persoenliches Einkommen,893","739774758912""",2013,"1242,16104760904"
196,"Altlindenau,Persoenliches Einkommen,1025","93236873067""",2013,"1235,27428907154"
197,"Neulindenau,Persoenliches Einkommen,1077","43033609746""",2013,"1269,61525082739"
198,"Leutzsch,Persoenliches Einkommen,1133","13320492051""",2013,"1387,01909752618"
199,"Boehlitz-Ehrenberg,Persoenliches Einkommen,1080","37539931653""",2013,"1445,3703806906"
200,"Burghausen-Rueckmarsdorf,Persoenliches Einkommen,1153","49380836073""",2013,"1206,30449688969"
201,"Moeckern,Persoenliches Einkommen,994","130490681782""",2013,"1349,20552415978"
202,"Wahren,Persoenliches Einkommen,1111","27972870703""",2013,"1366,12737946177"
203,"Luetzschena-Stahmeln,Persoenliches Einkommen,1107","99210573493""",2013,"1591,11229952145"
204,"Lindenthal,Persoenliches Einkommen,1147","21505221923""",2013,"1389,06430485442"
205,"Gohlis-Sued,Persoenliches Einkommen,1164","01892795164""",2013,"1623,52095410162"
206,"Gohlis-Mitte,Persoenliches Einkommen,1240","11222698576""",2013,"1572,19709410839"
207,"Gohlis-Nord,Persoenliches Einkommen,1158","22687294858""",2013,"1300,63303149062"
208,"Eutritzsch,Persoenliches Einkommen,1170","86064854204""",2013,"1235,05555764506"
209,"Seehausen,Persoenliches Einkommen,1215","85207009075""",2013,"1361,5663928243"
210,"Wiederitzsch,Persoenliches Einkommen,1182","25930901437""",2013,"1459,76969009838"
211,"Mitte,Persoenliches Einkommen,1232","61291070668""",2013,"1384,11695837427"
212,"Nordost,Persoenliches Einkommen,997","115176850823""",2013,"1184,65173941114"
